,names,matches,innings,notouts,runs,balls,high_score,avg,strike_rate,fours,sixes,fiftys,hundreds,season
83,"



Nathan Coulter-Nile


",11,5,1,20,18,6,5.00,111.11,2,1,0,0,2015
84,"



Dale Steyn


",6,3,2,20,13,19,20.00,153.84,3,0,0,0,2015
85,"



Iqbal Abdulla


",5,2,0,20,18,20,10.00,111.11,4,0,0,0,2015
86,"



Harshal Patel


",15,7,2,19,12,9,3.80,158.33,0,2,0,0,2015
87,"



Anureet Singh


",14,6,3,18,31,10,6.00,58.06,0,1,0,0,2015
88,"



Bhuvneshwar Kumar


",14,3,2,17,10,11,17.00,170.00,2,1,0,0,2015
89,"



Praveen Kumar


",12,4,1,17,25,12,5.66,68.00,1,0,0,0,2015
90,"



Sean Abbott


",2,2,0,15,13,14,7.50,115.38,1,1,0,0,2015
91,"



Aditya Tare


",2,2,0,14,17,7,7.00,82.35,1,0,0,0,2015
92,"



Rilee Rossouw


",2,2,0,14,10,14,7.00,140.00,1,1,0,0,2015
93,"



Darren Sammy


",2,2,0,13,18,7,6.50,72.22,0,0,0,0,2015
94,"



Mitchell McClenaghan


",12,3,2,13,6,12,13.00,216.66,0,2,0,0,2015
95,"



Tim Southee


",7,3,2,13,9,7,13.00,144.44,1,0,0,0,2015
96,"



Thisara Perera


",2,2,0,12,15,9,6.00,80.00,0,1,0,0,2015
97,"



Mitchell Starc


",13,3,2,11,14,9,11.00,78.57,1,0,0,0,2015
98,"



Karanveer Singh


",4,3,2,11,16,5,11.00,68.75,1,0,0,0,2015
99,"



Abu Nechim


",3,3,2,10,5,5,10.00,200.00,2,0,0,0,2015
100,"



Sandeep Sharma


",14,3,2,9,14,7,9.00,64.28,1,0,0,0,2015
101,"



Amit Mishra


",12,4,2,8,12,4,4.00,66.66,0,0,0,0,2015
102,"



Ankit Sharma


",4,2,1,7,6,7,7.00,116.66,1,0,0,0,2015
103,"



Brad Hogg


",6,2,1,7,6,5,7.00,116.66,0,0,0,0,2015
104,"



Shardul Thakur


",1,1,1,7,6,7,0.00,116.66,1,0,0,0,2015
105,"



Lasith Malinga


",15,1,1,6,10,6,0.00,60.00,1,0,0,0,2015
106,"



Varun Aaron


",6,1,0,6,3,6,6.00,200.00,0,1,0,0,2015
107,"



Azhar Mahmood


",1,1,0,6,7,6,6.00,85.71,1,0,0,0,2015
108,"



Imran Tahir


",10,2,1,5,6,3,5.00,83.33,0,0,0,0,2015
109,"



Morne Morkel


",7,1,1,4,3,4,0.00,133.33,0,0,0,0,2015
110,"



Chidhambaram Gautam


",1,1,0,4,5,4,4.00,80.00,0,0,0,0,2015
111,"



Nic Maddinson


",1,1,0,4,7,4,4.00,57.14,1,0,0,0,2015
112,"



Dhawal Kulkarni


",11,2,0,4,11,3,2.00,36.36,0,0,0,0,2015
113,"



Pravin Tambe


",10,2,2,3,5,2,0.00,60.00,0,0,0,0,2015
114,"



Parveez Rasool


",2,1,1,2,2,2,0.00,100.00,0,0,0,0,2015
115,"



Shahbaz Nadeem


",4,1,0,2,7,2,2.00,28.57,0,0,0,0,2015
116,"



Ronit More


",2,1,1,2,2,2,0.00,100.00,0,0,0,0,2015
117,"



Domnic Joseph


",6,2,1,1,3,1,1.00,33.33,0,0,0,0,2015
118,"



Ashish Nehra


",16,4,3,1,7,1,1.00,14.28,0,0,0,0,2015
119,"



Yuzvendra Chahal


",15,2,2,1,1,1,0.00,100.00,0,0,0,0,2015
120,"



Shreyas Gopal


",1,1,1,1,1,1,0.00,100.00,0,0,0,0,2015
121,"



Bipul Sharma


",4,1,0,1,2,1,1.00,50.00,0,0,0,0,2015
122,"



Juan Theron


",1,1,1,1,1,1,0.00,100.00,0,0,0,0,2015
123,"



Beuran Hendricks


",4,2,2,1,2,1,0.00,50.00,0,0,0,0,2015
124,"



Vinay Kumar


",13,3,2,0,2,0,0.00,0.00,0,0,0,0,2015
125,"



Sunil Narine


",8,1,1,0,1,0,0.00,0.00,0,0,0,0,2015
126,"



Pat Cummins


",3,1,0,0,2,0,0.00,0.00,0,0,0,0,2015
127,"



Rajat Bhatia


",2,1,0,0,1,0,0.00,0.00,0,0,0,0,2015
128,"



Sreenath Aravind


",5,1,1,0,1,0,0.00,0.00,0,0,0,0,2015
